0000 crc:0000
0001 crc:2fc51328
0002 crc:9de11151
0003 crc:f3fd1086
0004 crc:22d813e2
0005 crc:4cc41235
0006 crc:fee0104c
0007 crc:90fc119b
0008 crc:87db10c5
0009 crc:e9c71112
000a crc:5be3136b
000b crc:35ff12bc
000c crc:e4da11d8
000d crc:8ac6100f
000e crc:38e21276
000f crc:56fe13a1
0010 crc:16ac10ca
0011 crc:78b0111d
0012 crc:ca941364
0013 crc:a48812b3
0014 crc:75ad11d7
0015 crc:1bb11000
0016 crc:a9951279
0017 crc:c78913ae
0018 crc:d0ae12f0
0019 crc:beb21327
001a crc:c96115e
001b crc:628a1089
001c crc:b3af13ed
001d crc:ddb3123a
001e crc:6f971043
001f crc:18b1194
0020 crc:ef331695
0021 crc:812f1742
0022 crc:330b153b
0023 crc:5d1714ec
0024 crc:8c321788
0025 crc:e22e165f
0026 crc:500a1426
0027 crc:3e1615f1
0028 crc:293114af
0029 crc:472d1578
002a crc:f5091701
002b crc:9b1516d6
002c crc:4a3015b2
002d crc:242c1465
002e crc:9608161c
002f crc:f81417cb
0030 crc:b84614a0
0031 crc:d65a1577
0032 crc:647e170e
0033 crc:a6216d9
0034 crc:db4715bd
0035 crc:b55b146a
0036 crc:77f1613
0037 crc:696317c4
0038 crc:7e44169a
0039 crc:1058174d
003a crc:a27c1534
003b crc:cc6014e3
003c crc:1d451787
003d crc:73591650
003e crc:c17d1429
003f crc:af6115fe
0040 crc:c77c1c6a
0041 crc:a9601dbd
0042 crc:1b441fc4
0043 crc:75581e13
0044 crc:a47d1d77
0045 crc:ca611ca0
0046 crc:78451ed9
0047 crc:16591f0e
0048 crc:17e1e50
0049 crc:6f621f87
004a crc:dd461dfe
004b crc:b35a1c29
004c crc:627f1f4d
004d crc:c631e9a
004e crc:be471ce3
004f crc:d05b1d34
0050 crc:90091e5f
0051 crc:fe151f88
0052 crc:4c311df1
0053 crc:222d1c26
0054 crc:f3081f42
0055 crc:9d141e95
0056 crc:2f301cec
0057 crc:412c1d3b
0058 crc:560b1c65
0059 crc:38171db2
005a crc:8a331fcb
005b crc:e42f1e1c
005c crc:350a1d78
005d crc:5b161caf
005e crc:e9321ed6
005f crc:872e1f01
0060 crc:69961800
0061 crc:78a19d7
0062 crc:b5ae1bae
0063 crc:dbb21a79
0064 crc:a97191d
0065 crc:648b18ca
0066 crc:d6af1ab3
0067 crc:b8b31b64
0068 crc:af941a3a
0069 crc:c1881bed
006a crc:73ac1994
006b crc:1db01843
006c crc:cc951b27
006d crc:a2891af0
006e crc:10ad1889
006f crc:7eb1195e
0070 crc:3ee31a35
0071 crc:50ff1be2
0072 crc:e2db199b
0073 crc:8cc7184c
0074 crc:5de21b28
0075 crc:33fe1aff
0076 crc:81da1886
0077 crc:efc61951
0078 crc:f8e1180f
0079 crc:96fd19d8
007a crc:24d91ba1
007b crc:4ac51a76
007c crc:9be01912
007d crc:f5fc18c5
007e crc:47d81abc
007f crc:29c41b6b
0080 crc:97e20994
0081 crc:f9fe0843
0082 crc:4bda0a3a
0083 crc:25c60bed
0084 crc:f4e30889
0085 crc:9aff095e
0086 crc:28db0b27
0087 crc:46c70af0
0088 crc:51e00bae
0089 crc:3ffc0a79
008a crc:8dd80800
008b crc:e3c409d7
008c crc:32e10ab3
008d crc:5cfd0b64
008e crc:eed9091d
008f crc:80c508ca
0090 crc:c0970ba1
0091 crc:ae8b0a76
0092 crc:1caf080f
0093 crc:72b309d8
0094 crc:a3960abc
0095 crc:cd8a0b6b
0096 crc:7fae0912
0097 crc:11b208c5
0098 crc:695099b
0099 crc:6889084c
009a crc:daad0a35
009b crc:b4b10be2
009c crc:65940886
009d crc:b880951
009e crc:b9ac0b28
009f crc:d7b00aff
00a0 crc:39080dfe
00a1 crc:57140c29
00a2 crc:e5300e50
00a3 crc:8b2c0f87
00a4 crc:5a090ce3
00a5 crc:34150d34
00a6 crc:86310f4d
00a7 crc:e82d0e9a
00a8 crc:ff0a0fc4
00a9 crc:91160e13
00aa crc:23320c6a
00ab crc:4d2e0dbd
00ac crc:9c0b0ed9
00ad crc:f2170f0e
00ae crc:40330d77
00af crc:2e2f0ca0
00b0 crc:6e7d0fcb
00b1 crc:610e1c
00b2 crc:b2450c65
00b3 crc:dc590db2
00b4 crc:d7c0ed6
00b5 crc:63600f01
00b6 crc:d1440d78
00b7 crc:bf580caf
00b8 crc:a87f0df1
00b9 crc:c6630c26
00ba crc:74470e5f
00bb crc:1a5b0f88
00bc crc:cb7e0cec
00bd crc:a5620d3b
00be crc:17460f42
00bf crc:795a0e95
00c0 crc:11470701
00c1 crc:7f5b06d6
00c2 crc:cd7f04af
00c3 crc:a3630578
00c4 crc:7246061c
00c5 crc:1c5a07cb
00c6 crc:ae7e05b2
00c7 crc:c0620465
00c8 crc:d745053b
00c9 crc:b95904ec
00ca crc:b7d0695
00cb crc:65610742
00cc crc:b4440426
00cd crc:da5805f1
00ce crc:687c0788
00cf crc:660065f
00d0 crc:46320534
00d1 crc:282e04e3
00d2 crc:9a0a069a
00d3 crc:f416074d
00d4 crc:25330429
00d5 crc:4b2f05fe
00d6 crc:f90b0787
00d7 crc:97170650
00d8 crc:8030070e
00d9 crc:ee2c06d9
00da crc:5c0804a0
00db crc:32140577
00dc crc:e3310613
00dd crc:8d2d07c4
00de crc:3f0905bd
00df crc:5115046a
00e0 crc:bfad036b
00e1 crc:d1b102bc
00e2 crc:639500c5
00e3 crc:d890112
00e4 crc:dcac0276
00e5 crc:b2b003a1
00e6 crc:9401d8
00e7 crc:6e88000f
00e8 crc:79af0151
00e9 crc:17b30086
00ea crc:a59702ff
00eb crc:cb8b0328
00ec crc:1aae004c
00ed crc:74b2019b
00ee crc:c69603e2
00ef crc:a88a0235
00f0 crc:e8d8015e
00f1 crc:86c40089
00f2 crc:34e002f0
00f3 crc:5afc0327
00f4 crc:8bd90043
00f5 crc:e5c50194
00f6 crc:57e103ed
00f7 crc:39fd023a
00f8 crc:2eda0364
00f9 crc:40c602b3
00fa crc:f2e200ca
00fb crc:9cfe011d
00fc crc:4ddb0279
00fd crc:23c703ae
00fe crc:91e301d7
00ff crc:ffff0000
